Date,Type,Miles,Gallons,Cost,Location,
2021-05-19,Fuel,156906,15.702,47.09,"Red Wing, MN",
2021-05-24,Fuel,157173,16.325,48.96,"Red Wing, MN",
2021-05-30,Fuel,157296,8.488,29.28,"Red Wing, MN",
2021-06-11,Fuel,157522,15.135,49.90,"Red Wing, MN",
2021-06-18,Oil Change,157740,,59.11,"Red Wing, MN",
2021-06-18,Fuel,157745,13.401,41.53,"Red Wing, MN",
2021-06-19,Accessories,157765,,138.48,"Red Wing, MN",
2021-06-19,Car Wash,157765,,17.00,"Red Wing, MN",
2021-06-20,Fuel,157780,3.263,11.42,"Red Wing, MN",
2021-06-20,Fuel,157991,10.545,37.95,"Bayfield, WI",
2021-06-23,Fuel,158138,8.395,30.97,"Hayward, WI",
2021-06-23,Car Wash,158338,,13.00,"Red Wing, MN",
2021-06-26,Fuel,158432,16.189,59.88,"Apple Valley, MN",
2021-06-25,Accessories,158303,,11.80,"Red Wing, MN",
2021-07-02,Fuel,158607,10.740,34.89,"Red Wing, MN",
2021-07-02,Mechanical Maintenance,158607,,13.95,"Red Wing, MN",
2021-07-04,Fuel,158811,11.325,43.02,"Danbury, WI",
2021-07-05,Fuel,159010,10.836,35.21,"Red Wing, MN",
2021-07-11,Fuel,159197,11.488,36.75,"Red Wing, MN",
2021-08-04,Fuel,159654,28.482,103.94,"Red Wing, MN",
2021-08-13,Fuel,159917,16.191,52.60,"Red Wing, MN",
2021-08-20,Fuel,160186,16.344,52.28,"Red Wing, MN",
2021-08-27,Oil Change,160456,,49.79,"Red Wing, MN",
2021-08-27,Fuel,160464,16.361,52.34,"Red Wing, MN",
2021-08-27,Fuel,160622,7.859,28.28,"Hayward, WI",
2021-08-30,Fuel,160829,10.585,43.92,"Ironwood, MI",